id,height,weight,label
1,140,45,normal
2,145,72,fat
3,150,61,fat
4,137,56,fat
5,192,48,thin
6,175,77,fat
7,127,39,normal
8,152,38,thin
9,184,38,thin
10,186,41,thin
11,188,60,thin
12,181,43,thin
13,200,75,normal
14,146,65,fat
15,198,54,thin
16,133,70,fat
17,188,80,normal
18,156,49,normal
19,200,63,thin
20,182,64,normal
21,139,60,fat
22,134,57,fat
23,123,48,fat
24,164,65,normal
25,136,44,normal
26,184,68,normal
27,187,64,thin
28,194,71,normal
29,189,65,thin
30,141,56,fat
31,128,76,fat
32,155,65,fat
33,195,64,thin
34,134,51,fat
35,146,56,fat
36,184,49,thin
37,149,47,normal
38,180,38,thin
39,184,51,thin
40,134,39,normal
41,122,80,fat
42,173,45,thin
43,196,38,thin
44,196,48,thin
45,156,73,fat
46,196,68,thin
47,172,58,normal
48,156,67,fat
49,179,41,thin
50,190,70,normal
51,156,44,thin
52,166,61,normal
53,149,63,fat
54,132,48,fat
55,184,44,thin
56,137,70,fat
57,195,60,thin
58,178,73,normal
59,159,42,thin
60,141,37,normal
61,123,61,fat
62,146,35,thin
63,146,48,normal
64,164,36,thin
65,153,62,fat
66,200,40,thin
67,189,57,thin
68,128,41,fat
69,189,41,thin
70,177,57,thin
71,130,58,fat
72,148,63,fat
73,146,60,fat
74,134,42,normal
75,143,52,fat
76,149,71,fat
77,141,36,thin
78,167,55,normal
79,131,60,fat
80,132,75,fat
81,158,42,thin
82,184,36,thin
83,143,79,fat
84,194,39,thin
85,163,49,thin
86,134,53,fat
87,193,41,thin
88,137,41,normal
89,155,51,normal
90,132,37,normal
91,127,73,fat
92,124,59,fat
93,169,66,normal
94,140,69,fat
95,131,40,normal
96,165,57,normal
97,169,72,fat
98,188,80,normal
99,175,48,thin
100,122,79,fat
101,138,54,fat
102,144,50,normal
103,176,70,normal
104,171,76,fat
105,179,63,normal
106,186,74,normal
107,169,43,thin
108,190,45,thin
109,176,40,thin
110,191,52,thin
111,191,40,thin
112,155,36,thin
113,142,38,normal
114,172,47,thin
115,188,63,thin
116,150,68,fat
117,131,60,fat
118,135,40,normal
119,138,52,fat
120,137,76,fat
121,145,74,fat
122,153,75,fat
123,179,61,normal
124,140,67,fat
125,172,62,normal
126,160,48,normal
127,149,36,thin
128,200,57,thin
129,196,41,thin
130,162,57,normal
131,127,49,fat
132,165,64,normal
133,168,39,thin
134,192,66,thin
135,175,39,thin
136,125,35,normal
137,157,63,fat
138,132,68,fat
139,173,56,normal
140,169,44,thin
141,158,52,normal
142,153,57,normal
143,144,68,fat
144,172,70,normal
145,159,51,normal
146,177,74,normal
147,171,52,thin
148,171,57,normal
149,140,73,fat
150,188,77,normal
151,166,38,thin
152,164,69,fat
153,164,37,thin
154,163,36,thin
155,189,65,thin
156,134,78,fat
157,166,37,thin
158,128,47,fat
159,167,65,normal
160,180,39,thin
161,151,70,fat
162,152,78,fat
163,141,47,normal
164,131,74,fat
165,176,70,normal
166,162,45,thin
167,191,46,thin
168,145,65,fat
169,197,66,thin
170,191,46,thin
171,179,64,normal
172,142,43,normal
173,147,71,fat
174,172,62,normal
175,138,61,fat
176,148,47,normal
177,120,57,fat
178,197,78,normal
179,194,63,thin
180,169,79,fat
181,135,49,fat
182,164,39,thin
183,179,60,normal
184,181,45,thin
185,160,46,thin
186,176,71,normal
187,153,76,fat
188,133,44,normal
189,184,55,thin
190,143,36,thin
191,194,52,thin
192,130,64,fat
193,153,59,fat
194,126,78,fat
195,129,46,fat
196,180,51,thin
197,175,57,normal
198,153,38,thin
199,180,41,thin
200,170,56,normal
201,182,64,normal
202,161,70,fat
203,128,54,fat
204,166,49,thin
205,198,66,thin
206,196,66,thin
207,170,40,thin
208,149,49,normal
